Round: 0
Turn num: 0   Lines cleared: 0
Turn num: 14600000   Lines cleared: 5839997
Turn num: 14700000   Lines cleared: 5879999
Turn num: 14800000   Lines cleared: 5919999
Turn num: 14900000   Lines cleared: 5959998
Turn num: 15000000   Lines cleared: 5999998
Turn num: 15100000   Lines cleared: 6039998
Turn num: 15200000   Lines cleared: 6079999
Turn num: 15300000   Lines cleared: 6119999
Turn num: 15400000   Lines cleared: 6159998
Turn num: 15500000   Lines cleared: 6199999
Turn num: 15600000   Lines cleared: 6239999
Turn num: 15700000   Lines cleared: 6279998
Turn num: 15800000   Lines cleared: 6319999
Turn num: 15900000   Lines cleared: 6359998
Turn num: 16000000   Lines cleared: 6399999
Turn num: 16100000   Lines cleared: 6439996
Turn num: 16200000   Lines cleared: 6479995
Turn num: 16300000   Lines cleared: 6519998
Turn num: 16400000   Lines cleared: 6559998
Turn num: 16500000   Lines cleared: 6599998
Turn num: 16600000   Lines cleared: 6639998
Turn num: 16700000   Lines cleared: 6679999
Turn num: 16800000   Lines cleared: 6719999
Turn num: 16900000   Lines cleared: 6759999
Turn num: 17000000   Lines cleared: 6799998
Turn num: 17100000   Lines cleared: 6839999
Turn num: 17200000   Lines cleared: 6879998
Turn num: 17300000   Lines cleared: 6919998
Turn num: 17400000   Lines cleared: 6959996
Turn num: 17500000   Lines cleared: 6999997
Turn num: 17600000   Lines cleared: 7039998
Turn num: 17700000   Lines cleared: 7079999
Turn num: 17800000   Lines cleared: 7119997
Turn num: 17900000   Lines cleared: 7159998
Turn num: 18000000   Lines cleared: 7199999
Turn num: 18100000   Lines cleared: 7239997
Turn num: 18200000   Lines cleared: 7279997
Turn num: 18300000   Lines cleared: 7319996
Turn num: 18400000   Lines cleared: 7359998
Turn num: 18500000   Lines cleared: 7399997
Turn num: 18600000   Lines cleared: 7439999
Turn num: 18700000   Lines cleared: 7479998
Turn num: 18800000   Lines cleared: 7519999
Turn num: 18900000   Lines cleared: 7559998
Turn num: 19000000   Lines cleared: 7599999
Turn num: 19100000   Lines cleared: 7639998
Turn num: 19200000   Lines cleared: 7679999
Turn num: 19300000   Lines cleared: 7719998
Turn num: 19400000   Lines cleared: 7759998
Turn num: 19500000   Lines cleared: 7799999
Turn num: 19600000   Lines cleared: 7839999
